2022-06-20 19:44:09.418894 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:09.424908 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:44:09.424908 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:11.452007 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:11.455005 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:13.467023 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:13.469025 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:15.489294 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:15.493291 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:17.522317 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:17.524324 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:44:17.524324 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:19.545531 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:19.549601 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:21.571125 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:21.573102 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:23.594283 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:23.596281 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:25.616307 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:25.619259 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:25.627260 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:44:27.645439 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:27.649424 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:29.665900 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:29.679379 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:31.696801 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:31.700022 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:33.722863 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:33.725870 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:33.733106 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:44:35.749089 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
