2022-06-29 11:06:24.753248 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:06:26.760004 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:06:28.089969 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:04.246714 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:06.253847 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:07:08.263096 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:10.272907 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:07:12.282585 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:14.288793 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:07:16.304998 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:07:18.310265 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:18:27.680339 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:18:29.687818 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:18:31.701392 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:18:33.710458 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Send file to Receiver, success
2022-06-29 11:18:35.724305 Broker : file : test1.txt md5 Checksum : 425912acb5a4383bf660b42e6a9b9e8c Get file from Sender, success
2022-06-29 11:19:16.153682 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:19:18.158120 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:19:19.467435 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:20:46.979720 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:20:48.986238 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:20:50.713594 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:20:52.722001 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:21:46.609962 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:21:48.615523 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:21:51.614932 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:21:53.627285 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:21:58.284320 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:22:00.291812 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:22:02.062563 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:22:04.636460 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 11:22:06.644394 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 11:22:07.695307 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 12:54:40.232203 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 12:54:42.241999 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 12:54:44.245860 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 12:54:46.252700 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 12:54:48.265464 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 12:54:50.276151 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 12:54:52.286838 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 12:54:54.295145 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 12:54:56.299602 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 12:54:58.309428 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 12:55:00.317372 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 12:55:02.326247 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 12:55:04.337084 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 12:55:06.345438 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 12:55:08.356243 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
